Info 0    [09:39:59.498] Starting TS Server
Info 112  [09:41:30.493] Different program with same set of files
Info 113  [09:41:32.640] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 114  [09:41:32.651] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 21 structureChanged: false structureIsReused:: Completely Elapsed: 10.307600000000093ms
Info 115  [09:41:32.651] Different program with same set of files
Info 116  [09:41:34.001] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 117  [09:41:34.009] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 22 structureChanged: false structureIsReused:: Completely Elapsed: 7.557700000004843ms
Info 118  [09:41:34.009] Different program with same set of files
Info 119  [09:41:35.196] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 120  [09:41:35.202] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 23 structureChanged: false structureIsReused:: Completely Elapsed: 5.6599000000278465ms
Info 121  [09:41:35.202] Different program with same set of files
Info 122  [09:41:38.490] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 123  [09:41:38.507] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 24 structureChanged: false structureIsReused:: Completely Elapsed: 16.712100000004284ms
Info 124  [09:41:38.507] Different program with same set of files
Info 125  [09:41:38.800] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 126  [09:41:38.804] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 25 structureChanged: false structureIsReused:: Completely Elapsed: 3.932299999985844ms
Info 127  [09:41:38.804] Different program with same set of files
Info 128  [09:41:40.308] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 129  [09:41:40.314] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 26 structureChanged: false structureIsReused:: Completely Elapsed: 5.95339999999851ms
Info 130  [09:41:40.314] Different program with same set of files
Info 131  [09:41:40.317] getCompletionData: Get current token: 0.010500000033061951
Info 132  [09:41:40.317] getCompletionData: Is inside comment: 0.023699999961536378
Info 133  [09:41:40.317] getCompletionData: Get previous token: 0.0408000000170432
Info 134  [09:41:40.318] getCompletionsAtPosition: isCompletionListBlocker: 0.0027000000118277967
Info 135  [09:41:40.318] getCompletionData: Semantic work: 0.7371999999741092
Info 136  [09:41:40.320] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 1.4902000000001863
Info 137  [09:41:40.350] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 138  [09:41:40.357] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 27 structureChanged: false structureIsReused:: Completely Elapsed: 7.3153000000165775ms
Info 139  [09:41:40.357] Different program with same set of files
Info 140  [09:41:40.672] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 141  [09:41:40.679] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 28 structureChanged: false structureIsReused:: Completely Elapsed: 6.899700000009034ms
Info 142  [09:41:40.679] Different program with same set of files
Info 143  [09:41:41.108] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 144  [09:41:41.113] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 29 structureChanged: false structureIsReused:: Completely Elapsed: 4.932799999951385ms
Info 145  [09:41:41.113] Different program with same set of files
Info 146  [09:41:41.253] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 147  [09:41:41.259] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 30 structureChanged: false structureIsReused:: Completely Elapsed: 6.057100000034552ms
Info 148  [09:41:41.259] Different program with same set of files
Info 149  [09:41:41.379] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 150  [09:41:41.385] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 31 structureChanged: false structureIsReused:: Completely Elapsed: 6.24810000002617ms
Info 151  [09:41:41.385] Different program with same set of files
Info 152  [09:41:41.510] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 153  [09:41:41.518] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 32 structureChanged: false structureIsReused:: Completely Elapsed: 8.252200000046287ms
Info 154  [09:41:41.519] Different program with same set of files
Info 155  [09:41:41.570] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 156  [09:41:41.581] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 33 structureChanged: false structureIsReused:: Completely Elapsed: 10.274399999994785ms
Info 157  [09:41:41.581] Different program with same set of files
Info 158  [09:43:14.235] Search path: /home/lazywithclass/workspace/digitazon-bootcamp-project-2/client/src
Info 159  [09:43:14.235] For info: /home/lazywithclass/workspace/digitazon-bootcamp-project-2/client/src/App.js :: No config files found.
Info 160  [09:43:14.238] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 161  [09:43:14.341] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 102.9649999999674ms
Info 162  [09:43:14.341] Project '/dev/null/inferredProject2*' (Inferred)
Info 163  [09:43:14.341] 	Files (202)

Info 164  [09:43:14.341] -----------------------------------------------
Info 165  [09:43:14.346] AutoImportProviderProject: found 5 root files in 5 dependencies in 3.995100000058301 ms
Info 166  [09:43:14.347] Starting updateGraphWorker: Project: /dev/null/autoImportProviderProject2*
Info 167  [09:43:14.377] Finishing updateGraphWorker: Project: /dev/null/autoImportProviderProject2* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 30.21999999997206ms
Info 168  [09:43:14.377] Project '/dev/null/autoImportProviderProject2*' (AutoImportProvider)
Info 169  [09:43:14.377] 	Files (130)

Info 170  [09:43:14.377] -----------------------------------------------
Info 171  [09:43:23.094] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 172  [09:43:23.103] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 2 structureChanged: false structureIsReused:: Completely Elapsed: 8.310400000074878ms
Info 173  [09:43:23.103] Different program with same set of files
Info 174  [09:43:26.605] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 175  [09:43:26.613] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 3 structureChanged: false structureIsReused:: Completely Elapsed: 7.947700000018813ms
Info 176  [09:43:26.613] Different program with same set of files
Info 177  [09:43:30.893] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 178  [09:43:30.953] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 4 structureChanged: true structureIsReused:: SafeModules Elapsed: 59.76199999998789ms
Info 179  [09:43:30.953] Different program with same set of files
Info 180  [09:43:31.800] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 181  [09:43:31.806] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 5 structureChanged: false structureIsReused:: Completely Elapsed: 5.476299999980256ms
Info 182  [09:43:31.806] Different program with same set of files
Info 183  [09:43:33.340] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 184  [09:43:33.347] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 6 structureChanged: false structureIsReused:: Completely Elapsed: 6.9411000000545755ms
Info 185  [09:43:33.347] Different program with same set of files
Info 186  [09:43:34.284] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 187  [09:43:34.290] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 7 structureChanged: false structureIsReused:: Completely Elapsed: 5.796799999894574ms
Info 188  [09:43:34.290] Different program with same set of files
Info 189  [09:43:34.382] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 190  [09:43:34.456] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 8 structureChanged: true structureIsReused:: SafeModules Elapsed: 74.32779999997001ms
Info 191  [09:43:34.456] Project '/dev/null/inferredProject2*' (Inferred)
Info 192  [09:43:34.456] 	Files (212)

Info 193  [09:43:34.456] -----------------------------------------------
Info 194  [09:43:34.456] Project '/dev/null/autoImportProviderProject2*' (AutoImportProvider)
Info 195  [09:43:34.456] 	Files (130)

Info 196  [09:43:34.456] -----------------------------------------------
Info 197  [09:43:35.038] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 198  [09:43:35.072] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 9 structureChanged: true structureIsReused:: SafeModules Elapsed: 34.04579999996349ms
Info 199  [09:43:35.072] Project '/dev/null/inferredProject2*' (Inferred)
Info 200  [09:43:35.072] 	Files (202)

Info 201  [09:43:35.072] -----------------------------------------------
Info 202  [09:43:35.072] Project '/dev/null/autoImportProviderProject2*' (AutoImportProvider)
Info 203  [09:43:35.072] 	Files (130)

Info 204  [09:43:35.072] -----------------------------------------------
Info 205  [09:43:35.082] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 206  [09:43:35.112] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 10 structureChanged: true structureIsReused:: SafeModules Elapsed: 30.432900000014342ms
Info 207  [09:43:35.112] Different program with same set of files
Info 208  [09:43:35.397] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 209  [09:43:35.431] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 11 structureChanged: true structureIsReused:: SafeModules Elapsed: 33.75859999994282ms
Info 210  [09:43:35.431] Different program with same set of files
Info 211  [09:43:35.913] Format host information updated
Info 212  [09:43:35.913] Format host information updated
Info 213  [09:43:35.913] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 214  [09:43:35.942] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 12 structureChanged: true structureIsReused:: SafeModules Elapsed: 28.632699999958277ms
Info 215  [09:43:35.942] Different program with same set of files
Info 216  [09:43:36.722] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 217  [09:43:36.761] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 13 structureChanged: true structureIsReused:: SafeModules Elapsed: 38.76539999991655ms
Info 218  [09:43:36.761] Different program with same set of files
Info 219  [09:43:37.482] Format host information updated
Info 220  [09:43:37.482] Format host information updated
Info 221  [09:43:37.483] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 222  [09:43:37.516] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 14 structureChanged: true structureIsReused:: SafeModules Elapsed: 33.58429999998771ms
Info 223  [09:43:37.516] Project '/dev/null/inferredProject2*' (Inferred)
Info 224  [09:43:37.516] 	Files (203)

Info 225  [09:43:37.516] -----------------------------------------------
Info 226  [09:43:37.516] Project '/dev/null/autoImportProviderProject2*' (AutoImportProvider)
Info 227  [09:43:37.516] 	Files (130)

Info 228  [09:43:37.516] -----------------------------------------------
Info 229  [09:43:42.619] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 230  [09:43:42.625] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 15 structureChanged: false structureIsReused:: Completely Elapsed: 5.624000000068918ms
Info 231  [09:43:42.625] Different program with same set of files
Info 232  [09:43:43.000] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 233  [09:43:43.008] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 16 structureChanged: false structureIsReused:: Completely Elapsed: 7.689300000085495ms
Info 234  [09:43:43.008] Different program with same set of files
Info 235  [09:43:43.092] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 236  [09:43:43.098] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 17 structureChanged: false structureIsReused:: Completely Elapsed: 5.719399999943562ms
Info 237  [09:43:43.098] Different program with same set of files
Info 238  [09:43:43.273] getCompletionData: Get current token: 0.015799999935552478
Info 239  [09:43:43.273] getCompletionData: Is inside comment: 0.00590000010561198
Info 240  [09:43:43.273] getCompletionData: Get previous token: 0.04250000009778887
Info 241  [09:43:43.274] getCompletionsAtPosition: isCompletionListBlocker: 0.203099999926053
Info 242  [09:43:43.278] AutoImportProviderProject: found 5 root files in 5 dependencies in 0.20559999998658895 ms
Info 243  [09:43:43.278] Starting updateGraphWorker: Project: /dev/null/autoImportProviderProject2*
Info 244  [09:43:43.279] Finishing updateGraphWorker: Project: /dev/null/autoImportProviderProject2* Version: 2 structureChanged: false structureIsReused:: Not Elapsed: 0.4653999999864027ms
Info 245  [09:43:43.279] getExportInfoMap: cache miss or empty; calculating new results
Info 246  [09:43:43.352] forEachExternalModuleToImportFrom autoImportProvider: 28.91960000002291
Info 247  [09:43:43.353] getExportInfoMap: done in 74.49629999999888 ms
Info 248  [09:43:43.370] collectAutoImports: resolved 1 module specifiers, plus 0 ambient and 2 from cache
Info 249  [09:43:43.371] collectAutoImports: response is complete
Info 250  [09:43:43.371] collectAutoImports: 17.521600000094622
Info 251  [09:43:43.371] getCompletionData: Semantic work: 96.64489999995567
Info 252  [09:43:43.403] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 23.49110000010114
Info 253  [09:43:43.405] getCompletionData: Get current token: 0.00969999993685633
Info 254  [09:43:43.405] getCompletionData: Is inside comment: 0.0032000000355765224
Info 255  [09:43:43.405] getCompletionData: Get previous token: 0.041200000094249845
Info 256  [09:43:43.406] getCompletionsAtPosition: isCompletionListBlocker: 0.003600000054575503
Info 257  [09:43:43.407] getExportInfoMap: cache hit
Info 258  [09:43:43.415] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 3 from cache
Info 259  [09:43:43.415] collectAutoImports: response is complete
Info 260  [09:43:43.415] collectAutoImports: 7.774899999960326
Info 261  [09:43:43.415] getCompletionData: Semantic work: 9.829600000055507
Info 262  [09:43:43.434] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 17.17009999998845
Info 263  [09:43:43.436] getCompletionData: Get current token: 0.014699999941512942
Info 264  [09:43:43.436] getCompletionData: Is inside comment: 0.0102999999653548
Info 265  [09:43:43.436] getCompletionData: Get previous token: 0.06720000004861504
Info 266  [09:43:43.436] getCompletionsAtPosition: isCompletionListBlocker: 0.005599999916739762
Info 267  [09:43:43.440] getExportInfoMap: cache hit
Info 268  [09:43:43.444] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 3 from cache
Info 269  [09:43:43.444] collectAutoImports: response is complete
Info 270  [09:43:43.444] collectAutoImports: 4.654599999892525
Info 271  [09:43:43.444] getCompletionData: Semantic work: 7.9764999999897555
Info 272  [09:43:43.465] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 20.812400000053458
Info 273  [09:43:43.468] getCompletionData: Get current token: 0.017299999948590994
Info 274  [09:43:43.468] getCompletionData: Is inside comment: 0.005600000033155084
Info 275  [09:43:43.468] getCompletionData: Get previous token: 0.07199999992735684
Info 276  [09:43:43.468] getCompletionsAtPosition: isCompletionListBlocker: 0.004599999985657632
Info 277  [09:43:43.470] getExportInfoMap: cache hit
Info 278  [09:43:43.473] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 3 from cache
Info 279  [09:43:43.473] collectAutoImports: response is complete
Info 280  [09:43:43.473] collectAutoImports: 3.2652999999700114
Info 281  [09:43:43.473] getCompletionData: Semantic work: 5.563200000091456
Info 282  [09:43:43.489] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 13.974199999938719
Info 283  [09:43:43.491] getCompletionData: Get current token: 0.010800000047311187
Info 284  [09:43:43.491] getCompletionData: Is inside comment: 0.003999999957159162
Info 285  [09:43:43.491] getCompletionData: Get previous token: 0.043500000028871
Info 286  [09:43:43.491] getCompletionsAtPosition: isCompletionListBlocker: 0.003999999957159162
Info 287  [09:43:43.495] getExportInfoMap: cache hit
Info 288  [09:43:43.499] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 3 from cache
Info 289  [09:43:43.500] collectAutoImports: response is complete
Info 290  [09:43:43.500] collectAutoImports: 4.0653000000165775
Info 291  [09:43:43.500] getCompletionData: Semantic work: 8.32999999995809
Info 292  [09:43:43.510] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 10.61159999994561
Info 293  [09:43:43.513] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 294  [09:43:43.523] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 18 structureChanged: false structureIsReused:: Completely Elapsed: 10.456699999980628ms
Info 295  [09:43:43.523] Different program with same set of files
Info 296  [09:43:43.524] getCompletionData: Get current token: 0.0102999999653548
Info 297  [09:43:43.524] getCompletionData: Is inside comment: 0.003499999991618097
Info 298  [09:43:43.524] getCompletionData: Get previous token: 0.04130000004079193
Info 299  [09:43:43.524] getCompletionsAtPosition: isCompletionListBlocker: 0.004100000020116568
Info 300  [09:43:43.528] getExportInfoMap: cache hit
Info 301  [09:43:43.534] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 3 from cache
Info 302  [09:43:43.534] collectAutoImports: response is complete
Info 303  [09:43:43.534] collectAutoImports: 6.104300000006333
Info 304  [09:43:43.534] getCompletionData: Semantic work: 9.761300000012852
Info 305  [09:43:43.576] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 15.444699999992736
Info 306  [09:43:43.589] getCompletionData: Get current token: 0.012300000060349703
Info 307  [09:43:43.589] getCompletionData: Is inside comment: 0.004399999976158142
Info 308  [09:43:43.589] getCompletionData: Get previous token: 0.0487000000430271
Info 309  [09:43:43.589] getCompletionsAtPosition: isCompletionListBlocker: 0.004300000029616058
Info 310  [09:43:43.591] getExportInfoMap: cache hit
